sla_incumplido;Tiempo_Resolucion_horas;Impacto;Prioridad;Nivel_1_Categorizacion;Nivel_2_Categorizacion;Nivel_3_Categorizacion;Servicio;Tipo_Incidencia;Fuente_Reportada;Tipo_Solucion;Categoria_Resolucion;Total_Transferencias;Indisponibilidad_Minutos;Reapertura;Incidente_Mayor;anio;mes;dia_semana;hora_creacion;es_fin_de_semana;prob_incumplir_SLA_temprano
0;30,581944;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;19,000000;No;No;2025;10;3;0;0;0,376857
0;30,580556;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;19,000000;No;No;2025;10;3;0;0;0,376857
0;32,580556;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;2,000000;0,000000;No;No;2025;10;3;0;0;0,376857
0;30,565000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;19,000000;No;No;2025;10;3;0;0;0,376857
0;29,912222;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;13,000000;No;No;2025;10;3;1;0;0,380480
0;29,626111;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;10,000000;No;No;2025;10;3;1;0;0,380480
0;29,626111;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;10,000000;No;No;2025;10;3;1;0;0,380480
0;29,606389;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;10,000000;No;No;2025;10;3;1;0;0,380480
0;29,606389;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;10,000000;No;No;2025;10;3;1;0;0,380480
0;29,605000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;10,000000;No;No;2025;10;3;1;0;0,380480
